Chen_Kudla.spthy;0.34;0.21
Chen_Kudla_eCK.spthy;0.34;0.17
Joux.spthy;4.36;0.43
Joux_EphkRev.spthy;0.20;0.08
RYY.spthy;0.13;0.07
RYY_PFS.spthy;0.13;0.07
Scott.spthy;0.08;0.04
Scott_EphkRev.spthy;0.08;0.04
TAK1.spthy;0.23;0.15
TAK1_eCK_like.spthy;0.23;0.14
Chen_Kudla.spthy;0.35;0.17
Chen_Kudla_eCK.spthy;0.35;0.17
Joux.spthy;0.19;0.08
Joux_EphkRev.spthy;4.31;0.42
RYY.spthy;0.12;0.06
RYY_PFS.spthy;0.12;0.06
Scott.spthy;0.08;0.04
Scott_EphkRev.spthy;0.08;0.04
TAK1.spthy;0.23;0.14
TAK1_eCK_like.spthy;0.24;0.14
Chen_Kudla.spthy;0.35;0.17
Chen_Kudla_eCK.spthy;0.33;0.16
Joux.spthy;0.19;0.08
Joux_EphkRev.spthy;4.21;0.39
RYY.spthy;0.12;0.06
RYY_PFS.spthy;0.12;0.06
Scott.spthy;0.07;0.04
Scott_EphkRev.spthy;0.08;0.03
TAK1.spthy;0.23;0.14
TAK1_eCK_like.spthy;0.23;0.14
Chen_Kudla.spthy;0.34;0.16
Chen_Kudla_eCK.spthy;0.35;0.16
Joux.spthy;4.47;0.41
Joux_EphkRev.spthy;4.34;0.42
RYY.spthy;0.12;0.06
RYY_PFS.spthy;0.13;0.07
Scott.spthy;0.07;0.03
Scott_EphkRev.spthy;0.08;0.04
TAK1.spthy;0.23;0.14
TAK1_eCK_like.spthy;0.23;0.14
Chen_Kudla.spthy;0.34;0.16
Chen_Kudla_eCK.spthy;0.34;0.18
Joux.spthy;4.25;0.39
Joux_EphkRev.spthy;4.26;0.41
RYY.spthy;0.12;0.06
RYY_PFS.spthy;0.12;0.06
Scott.spthy;0.07;0.03
Scott_EphkRev.spthy;0.08;0.04
TAK1.spthy;0.23;0.14
TAK1_eCK_like.spthy;0.23;0.14
Chen_Kudla.spthy;0.34;0.17
Chen_Kudla_eCK.spthy;0.34;0.16
Joux.spthy;4.26;0.40
Joux_EphkRev.spthy;4.30;0.40
RYY.spthy;0.13;0.06
RYY_PFS.spthy;0.13;0.07
Scott.spthy;0.08;0.04
Scott_EphkRev.spthy;0.08;0.04
TAK1.spthy;0.24;0.15
TAK1_eCK_like.spthy;0.24;0.15
