Chen_Kudla.spthy;0.21;0.11
Chen_Kudla_eCK.spthy;0.21;0.11
Joux.spthy;4.31;0.42
Joux_EphkRev.spthy;0.20;0.08
RYY.spthy;0.09;0.04
RYY_PFS.spthy;0.09;0.04
Scott.spthy;0.06;0.03
Scott_EphkRev.spthy;0.07;0.03
TAK1.spthy;0.23;0.11
TAK1_eCK_like.spthy;0.23;0.15
Chen_Kudla.spthy;0.20;0.10
Chen_Kudla_eCK.spthy;0.20;0.09
Joux.spthy;4.28;0.38
Joux_EphkRev.spthy;0.20;0.08
RYY.spthy;0.09;0.05
RYY_PFS.spthy;0.09;0.05
Scott.spthy;0.06;0.03
Scott_EphkRev.spthy;0.07;0.03
TAK1.spthy;0.23;0.14
TAK1_eCK_like.spthy;0.23;0.14
Chen_Kudla.spthy;0.20;0.10
Chen_Kudla_eCK.spthy;0.20;0.10
Joux.spthy;4.26;0.42
Joux_EphkRev.spthy;4.34;0.43
RYY.spthy;0.09;0.05
RYY_PFS.spthy;0.09;0.05
Scott.spthy;0.07;0.03
Scott_EphkRev.spthy;0.07;0.03
TAK1.spthy;0.23;0.14
TAK1_eCK_like.spthy;0.24;0.14
Chen_Kudla.spthy;0.20;0.10
Chen_Kudla_eCK.spthy;0.20;0.10
Joux.spthy;4.26;0.40
Joux_EphkRev.spthy;4.28;0.41
RYY.spthy;0.09;0.05
RYY_PFS.spthy;0.09;0.05
Scott.spthy;0.07;0.03
Scott_EphkRev.spthy;0.07;0.03
TAK1.spthy;0.23;0.14
TAK1_eCK_like.spthy;0.23;0.14
Chen_Kudla.spthy;0.20;0.10
Chen_Kudla_eCK.spthy;0.20;0.10
Joux.spthy;4.28;0.42
Joux_EphkRev.spthy;4.29;0.42
RYY.spthy;0.09;0.04
RYY_PFS.spthy;0.09;0.04
Scott.spthy;0.06;0.03
Scott_EphkRev.spthy;0.07;0.03
TAK1.spthy;0.23;0.14
TAK1_eCK_like.spthy;0.23;0.14
Chen_Kudla.spthy;0.20;0.10
Chen_Kudla_eCK.spthy;0.20;0.10
Joux.spthy;4.30;0.43
Joux_EphkRev.spthy;4.26;0.40
RYY.spthy;0.09;0.05
RYY_PFS.spthy;0.09;0.05
Scott.spthy;0.06;0.03
Scott_EphkRev.spthy;0.07;0.03
TAK1.spthy;0.23;0.14
TAK1_eCK_like.spthy;0.23;0.14
