Chen_Kudla.spthy;42.06;6.77
Chen_Kudla_eCK.spthy;21.19;5.11
Joux.spthy;10.23;2.32
Joux_EphkRev.spthy;13.21;2.86
RYY.spthy;6.45;1.83
RYY_PFS.spthy;6.57;1.80
Scott.spthy;14.12;2.69
Scott_EphkRev.spthy;14.04;2.39
TAK1.spthy;22.96;5.07
TAK1_eCK_like.spthy;37.10;5.62
Chen_Kudla.spthy;28.25;6.28
Chen_Kudla_eCK.spthy;20.93;5.08
Joux.spthy;10.39;2.40
Joux_EphkRev.spthy;13.16;2.80
RYY.spthy;6.43;1.80
RYY_PFS.spthy;6.58;1.80
Scott.spthy;13.93;2.70
Scott_EphkRev.spthy;14.60;2.38
TAK1.spthy;23.67;5.17
TAK1_eCK_like.spthy;34.76;7.45
Chen_Kudla.spthy;27.57;6.25
Chen_Kudla_eCK.spthy;21.33;5.15
Joux.spthy;10.44;2.36
Joux_EphkRev.spthy;15.10;2.98
RYY.spthy;10.08;2.00
RYY_PFS.spthy;6.66;1.85
Scott.spthy;14.25;2.68
Scott_EphkRev.spthy;14.41;2.45
TAK1.spthy;23.62;5.39
TAK1_eCK_like.spthy;37.42;5.74
Chen_Kudla.spthy;42.54;6.93
Chen_Kudla_eCK.spthy;21.12;5.08
Joux.spthy;10.47;2.45
Joux_EphkRev.spthy;13.28;2.91
RYY.spthy;6.45;1.85
RYY_PFS.spthy;6.73;1.93
Scott.spthy;14.20;2.70
Scott_EphkRev.spthy;15.51;2.64
TAK1.spthy;23.52;5.33
TAK1_eCK_like.spthy;36.34;5.99
Chen_Kudla.spthy;27.39;6.18
Chen_Kudla_eCK.spthy;21.19;5.00
Joux.spthy;10.35;2.29
Joux_EphkRev.spthy;13.22;2.79
RYY.spthy;6.59;1.84
RYY_PFS.spthy;6.59;1.81
Scott.spthy;13.98;2.59
Scott_EphkRev.spthy;14.26;2.37
TAK1.spthy;23.06;5.11
TAK1_eCK_like.spthy;35.51;6.71
Chen_Kudla.spthy;42.41;6.76
Chen_Kudla_eCK.spthy;21.60;5.22
Joux.spthy;10.29;2.29
Joux_EphkRev.spthy;13.12;2.78
RYY.spthy;6.49;1.79
RYY_PFS.spthy;6.68;1.86
Scott.spthy;14.16;2.69
Scott_EphkRev.spthy;15.07;2.48
TAK1.spthy;23.66;5.08
TAK1_eCK_like.spthy;35.95;6.15
