DHKEA_NAXOS_C_eCK_PFS_keyreg_partially_matching.spthy;11.49;7.25
DHKEA_NAXOS_C_eCK_PFS_partially_matching.spthy;11.43;7.20
NAXOS_eCK.spthy;0.21;0.11
NAXOS_eCK_PFS.spthy;0.21;0.11
UM_one_pass_attack.spthy;0.07;0.03
UM_one_pass_fix.spthy;0.07;0.03
UM_three_pass.spthy;0.24;0.08
UM_three_pass_combined.spthy;0.29;0.11
UM_three_pass_combined_fixed.spthy;0.22;0.10
DHKEA_NAXOS_C_eCK_PFS_keyreg_partially_matching.spthy;11.48;7.22
DHKEA_NAXOS_C_eCK_PFS_partially_matching.spthy;11.40;7.27
NAXOS_eCK.spthy;0.21;0.10
NAXOS_eCK_PFS.spthy;0.21;0.10
UM_one_pass_attack.spthy;0.07;0.03
UM_one_pass_fix.spthy;0.07;0.03
UM_three_pass.spthy;0.23;0.08
UM_three_pass_combined.spthy;0.29;0.11
UM_three_pass_combined_fixed.spthy;0.22;0.10
DHKEA_NAXOS_C_eCK_PFS_keyreg_partially_matching.spthy;11.45;7.27
DHKEA_NAXOS_C_eCK_PFS_partially_matching.spthy;11.84;7.19
NAXOS_eCK.spthy;0.24;0.12
NAXOS_eCK_PFS.spthy;0.23;0.11
UM_one_pass_attack.spthy;0.08;0.03
UM_one_pass_fix.spthy;0.08;0.04
UM_three_pass.spthy;0.25;0.09
UM_three_pass_combined.spthy;0.31;0.11
UM_three_pass_combined_fixed.spthy;0.23;0.11
DHKEA_NAXOS_C_eCK_PFS_keyreg_partially_matching.spthy;11.95;7.48
DHKEA_NAXOS_C_eCK_PFS_partially_matching.spthy;11.81;7.37
NAXOS_eCK.spthy;0.22;0.11
NAXOS_eCK_PFS.spthy;0.23;0.12
UM_one_pass_attack.spthy;0.07;0.03
UM_one_pass_fix.spthy;0.07;0.03
UM_three_pass.spthy;0.24;0.09
UM_three_pass_combined.spthy;0.30;0.11
UM_three_pass_combined_fixed.spthy;0.22;0.10
DHKEA_NAXOS_C_eCK_PFS_keyreg_partially_matching.spthy;11.80;7.24
DHKEA_NAXOS_C_eCK_PFS_partially_matching.spthy;11.77;7.32
NAXOS_eCK.spthy;0.21;0.11
NAXOS_eCK_PFS.spthy;0.22;0.11
UM_one_pass_attack.spthy;0.07;0.03
UM_one_pass_fix.spthy;0.07;0.03
UM_three_pass.spthy;0.17;0.07
UM_three_pass_combined.spthy;0.29;0.11
UM_three_pass_combined_fixed.spthy;0.22;0.10
DHKEA_NAXOS_C_eCK_PFS_keyreg_partially_matching.spthy;11.81;7.42
DHKEA_NAXOS_C_eCK_PFS_partially_matching.spthy;11.77;6.94
NAXOS_eCK.spthy;0.21;0.11
NAXOS_eCK_PFS.spthy;0.22;0.11
UM_one_pass_attack.spthy;0.07;0.03
UM_one_pass_fix.spthy;0.07;0.03
UM_three_pass.spthy;0.24;0.08
UM_three_pass_combined.spthy;0.30;0.11
UM_three_pass_combined_fixed.spthy;0.22;0.10
